interneuron_type,pyramidal_type,Pair_ID,distance_apart,OP_IPSC_peak,IP_IPSC_peak,OP_pial_dist,IP_pial_dist,bias_index
PV,IP_OP,P 201013_001,,908.8634338378906,449.6725738525391,,,0.3309979060599226
PV,IP_OP,P 201015_001,56.0,265.3469543457031,1018.7267120361328,237.0,277.0,0.7933553492352371
PV,IP_OP,P 201015_004,,606.1837893168132,272.4971286773681,,,0.3101206855605946
PV,IP_OP,P 201020_003,,276.3801864624023,965.8637756347656,,,0.7775153714606794
PV,IP_OP,P 201020_006,100.0,120.9023780822754,841.9491638183594,200.0,264.0,0.8744330015366456
PV,IP_OP,P 201126_003,,571.8087738037109,550.8958755493164,250.0,260.0,0.4906863758574235
PV,IP_OP,P 210110_001,25.0,182.13304901123047,72.4254831314087,250.0,250.0,0.28451406645771293
PV,IP_OP,P 210110_003,65.0,303.0533338274275,665.8969813755581,200.0,200.0,0.6872354246936379
PV,IP_OP,P 210110_004,80.0,607.4653076171875,46.56931095123291,250.0,200.0,0.07120312844168074
PV,IP_OP,P 210111_002,100.0,571.8597045898438,344.2854431152344,175.0,225.0,0.37579792238998505
PV,IP_OP,P 210111_003,40.0,620.5716247558594,538.4319152832031,,,0.4645645131205174
PV,IP_OP,P 210111_007,75.0,257.77831573486327,387.0709228515625,200.0,250.0,0.6002502595801474
PV,IP_OP,P 210112_001,80.0,816.5090738932291,380.0586107042101,200.0,200.0,0.3176239970345456
PV,IP_OP,P 210112_003,60.0,333.8852952957153,205.88872756958008,150.0,200.0,0.3814350429030579
PV,IP_OP,P 210114_002,25.0,122.63695780436196,331.211116027832,200.0,200.0,0.7297841174716414
PV,IP_OP,P 210114_003,100.0,610.5441066196987,204.80917140415733,350.0,250.0,0.2511907131845307
PV,IP_OP,P 210114_004,70.0,690.1666361490886,271.8638711717394,375.0,350.0,0.28259381496004404
VIP,IP_OP,P 210209_001,70.0,96.47591315375432,290.206793891059,400.0,375.0,0.7505036780903327
VIP,IP_OP,P 210209_005,50.0,162.76288713727678,60.24358803885324,400.0,425.0,0.27014277496325156
VIP,IP_OP,P 210209_006,25.0,16.71779088973999,26.851092433929445,,,0.6162905813870652
VIP,IP_OP,P 210209_007,,31.936676025390625,114.3418231540256,,,0.7816721103610788
VIP,IP_OP,P 210210_001,75.0,267.9781997680664,248.6438552856445,350.0,400.0,0.4812877283370995
VIP,IP_OP,P 210210_002,80.0,109.2943229675293,149.2243049621582,300.0,380.0,0.5772284425196028
