Pair_ID,Pair_type,Neuron1_ID,Neuron2_ID,Neuron1_pial_dist,Neuron2_pial_dist,Intersomatic_distance,percent_shared,difference_ratio
P 201009_002,unlabeled,unlabeled,unlabeled,,,,25.699168556311413,99.41459594814908
P 201021_003,unlabeled,unlabeled,unlabeled,150.0,164.0,58.0,15.888501742160278,68.32669509553668
P 200204_002,unlabeled,unlabeled,unlabeled,,,,33.33333333333333,27.24946379103902
P 200204_003,unlabeled,unlabeled,unlabeled,,,,21.40804597701149,73.49884868797551
P 200204_004,unlabeled,unlabeled,unlabeled,,,,21.64351851851852,60.311724744149075
P 200204_006,unlabeled,unlabeled,unlabeled,,,,9.819967266775777,57.23789139874833
P 200207_001,unlabeled,unlabeled,unlabeled,,,,49.34296122820713,57.78794136842655
P 210225_005,unlabeled,unlabeled,unlabeled,200.0,275.0,75.0,31.326781326781322,154.37187302903567
P 210226_001,unlabeled,unlabeled,unlabeled,330.0,300.0,65.0,26.901529842706314,155.77218868820222
P 210226_002,unlabeled,unlabeled,unlabeled,340.0,300.0,75.0,30.11458681833389,77.12025333290879
P 210305_001,unlabeled,unlabeled,unlabeled,300.0,340.0,50.0,28.235294117647058,76.8605020382346
P 210305_002,unlabeled,unlabeled,unlabeled,,,,17.814575645756456,85.16735162858235
P 210310_001,unlabeled,unlabeled,unlabeled,175.0,175.0,50.0,8.56597884515346,91.72794748116186
P 210310_002,unlabeled,unlabeled,unlabeled,400.0,400.0,10.0,4.216589861751152,80.52816181160043
P 210310_003,unlabeled,unlabeled,unlabeled,350.0,350.0,55.0,9.036247833427847,82.04711634390979
P 210311_006,unlabeled,unlabeled,unlabeled,160.0,160.0,50.0,43.10850439882698,84.75988550306239
P 210312_005,unlabeled,unlabeled,unlabeled,200.0,250.0,75.0,11.309523809523808,47.824448785046954
P 210315_001,unlabeled,unlabeled,unlabeled,310.0,350.0,80.0,14.595306513409962,89.87861633497148
P 210315_002,unlabeled,unlabeled,unlabeled,275.0,275.0,75.0,4.925156929019797,95.81118015555757
P 210315_003,unlabeled,unlabeled,unlabeled,250.0,250.0,60.0,5.584851390220518,63.37495750922425
P 210315_004,unlabeled,unlabeled,unlabeled,150.0,180.0,50.0,48.611111111111114,68.71249541569519
P 210323_003,unlabeled,unlabeled,unlabeled,300.0,350.0,65.0,9.418032786885245,136.02617626940722
P 210209_001,IP-OP,IP-derived,OP-derived,375.0,400.0,70.0,11.461537284426694,167.7534684877525
P 210209_005,IP-OP,OP-derived,IP-derived,400.0,425.0,50.0,4.29084846745651,333.1550160306547
P 210209_006,IP-OP,OP-derived,IP-derived,200.0,225.0,25.0,11.340996168582375,82.80609222561795
P 210209_007,IP-OP,OP-derived,IP-derived,,,,4.655344655344655,100.67421350294896
P 210210_001,IP-OP,OP-derived,IP-derived,350.0,400.0,75.0,9.659081526495699,123.49400895444094
P 210210_002,IP-OP,OP-derived,IP-derived,300.0,380.0,80.0,4.3806968225572875,141.25694634727347
P 210214_001,IP-OP,OP-derived,IP-derived,,,,9.189640768588136,181.79667914445733
P 210214_005,IP-OP,IP-derived,OP-derived,375.0,450.0,75.0,6.746963562753036,385.141697500742
P 210218_001,IP-OP,OP-derived,IP-derived,290.0,250.0,50.0,14.09725565719788,56.14558614296787
P 210218_003,IP-OP,OP-derived,IP-derived,225.0,230.0,75.0,6.194188991070239,123.48955753156426
P 210221_001,IP-OP,OP-derived,IP-derived,400.0,430.0,70.0,8.987890688921617,153.15552915458122
P 210221_002,IP-OP,OP-derived,IP-derived,200.0,250.0,75.0,6.6455696202531644,65.79003563376851
P 210221_003,IP-OP,IP-derived,OP-derived,,,150.0,12.407428506323345,194.82398907414802
P 210222_005,IP-OP,OP-derived,IP-derived,200.0,260.0,80.0,10.307145638629283,80.55562278839464
P 210307_001,unlabeled,unlabeled,unlabeled,250.0,275.0,70.0,13.636363636363637,26.79514775948174
P 210307_002,unlabeled,unlabeled,unlabeled,150.0,150.0,75.0,25.894233324475156,149.7137453859572
P 210312_001,IP-OP,OP-derived,IP-derived,280.0,230.0,65.0,6.122994652406417,129.15306447336147
P 210322_003,IP-OP,OP-derived,IP-derived,245.0,260.0,100.0,4.2369311137591925,105.94940673887596
P 210322_005,IP-OP,IP-derived,OP-derived,195.0,205.0,15.0,17.56756756756757,55.78146456282595
P 210322_007,IP-OP,OP-derived,IP-derived,210.0,220.0,15.0,6.850432079653478,58.942830028984574
P 230202_008,unlabeled,unlabeled,unlabeled,200.0,250.0,75.0,53.414818548387096,65.81029356995106
P 230214_004,IP-OP,IP-derived,OP-derived,120.0,150.0,100.0,36.02216748768473,123.9961140008734
P 230330_003,IP-OP,IP-derived,OP-derived,200.0,150.0,75.0,26.06516290726817,228.84064150370045
P 230214_005,IP-OP,OP-derived,IP-derived,150.0,100.0,70.0,22.01555023923445,91.74335913674152
P 230424_005,unlabeled,unlabeled,unlabeled,300.0,360.0,80.0,10.513269174686497,151.5613235732801
P 230328_003,unlabeled,unlabeled,unlabeled,,,90.0,25.942728157918033,148.87917847054024
