,Pair_ID,Pair_type,Neuron1_ID,Neuron2_ID,Shared_output_prob,Shared_amp_difference,Distance_apart,Neuron1_pial_dist,Neuron2_pial_dist,Neuron1_amplitude,Neuron2_amplitude
0,P 210805_002,unlabeled,unlabeled,unlabeled,0.3333333333333333,171.47641422586213,50.0,350.0,360.0,2.9136017108578525,37.945240286484506
1,P 210816_002,unlabeled,unlabeled,unlabeled,0.75,23.82527634339602,20.0,350.0,350.0,53.85210469725445,68.41765927234161
2,P 210816_002,unlabeled,unlabeled,unlabeled,0.8571428571428571,4.23159898873448,20.0,350.0,350.0,64.14223916253611,61.48423486036811
3,P 210816_002,unlabeled,unlabeled,unlabeled,0.7142857142857143,68.56980640584302,20.0,350.0,350.0,68.14291247991292,139.24600057405786
4,P 210816_002,unlabeled,unlabeled,unlabeled,1.0,39.44454600217469,20.0,350.0,350.0,81.13101752349559,54.4010192308663
5,P 210816_002,unlabeled,unlabeled,unlabeled,0.8571428571428571,33.34416896127282,20.0,350.0,350.0,82.8153703490449,59.14724344618463
6,P 210922_002,unlabeled,unlabeled,unlabeled,0.5,13.18910945894415,75.0,200.0,250.0,43.65351027425028,38.25219379297751
7,P 211004_003,unlabeled,unlabeled,unlabeled,1.0,13.51037150869594,60.0,180.0,240.0,38.94714213049098,34.01819787671279
8,P 211004_004,unlabeled,unlabeled,unlabeled,0.5714285714285714,91.96308110230544,50.0,275.0,275.0,26.052151365134097,70.4043252946794
9,P 211004_004,unlabeled,unlabeled,unlabeled,0.7142857142857143,157.61599597500197,50.0,275.0,275.0,29.211491738724337,246.47262457549124
10,P 211011_001,unlabeled,unlabeled,unlabeled,0.5,49.36738224083207,50.0,350.0,350.0,68.03052941062636,41.09445525946072
11,P 211011_002,unlabeled,unlabeled,unlabeled,0.8571428571428571,106.9440890100839,75.0,350.0,400.0,27.966845173974992,92.24838834087646
12,P 211011_004,unlabeled,unlabeled,unlabeled,0.1428571428571428,190.19808159781414,75.0,325.0,350.0,4.4496460994545135,177.13301626844398
0,P 210803_002,IP-OP,IP-derived,OP-derived,0.7142857142857143,17.714758567781498,50.0,275.0,300.0,35.70087779092279,42.63980960739939
1,P 210803_002,IP-OP,IP-derived,OP-derived,0.8333333333333334,17.702828821582468,50.0,275.0,300.0,53.796096723794385,64.2443454312694
2,P 210803_002,IP-OP,IP-derived,OP-derived,0.7142857142857143,94.08693580430119,50.0,275.0,300.0,30.082519633249227,83.5296012573893
3,P 210803_003,IP-OP,OP-derived,IP-derived,0.2,147.98438327147431,75.0,200.0,275.0,7.628107853349176,51.0320279528721
4,P 210803_003,IP-OP,OP-derived,IP-derived,0.1666666666666666,195.56211497040158,75.0,200.0,275.0,131.30819269599584,1.47317106612393
5,P 210803_003,IP-OP,OP-derived,IP-derived,0.3333333333333333,151.24152290495513,75.0,200.0,275.0,9.435236568608694,67.96862943168986
6,P 210803_003,IP-OP,OP-derived,IP-derived,0.5,91.8894508255901,75.0,200.0,275.0,118.33446234613128,43.82893480498883
