condition,brain_ID,filename,X_distance,Y_distance,PV_relative_to_starter_Y,Average_starter_X,Average_starter_Y,XYZ_distance,layer
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s53_2,-69.90575000000013,30.46835424565097,288.75334651407013,855.0997500000001,258.28499226841916,76.4207726570531,Layer 2/3
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s53_2,-54.78275000000019,-60.06890758227286,198.2160846861463,855.0997500000001,258.28499226841916,81.45196962437531,Layer 2/3
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s53_2,-85.62075000000004,348.238252703072,606.5232449714912,855.0997500000001,258.28499226841916,358.64438302621045,Layer 5b
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s53_2,-120.80875000000003,442.72835286272493,701.0133451311441,855.0997500000001,258.28499226841916,458.9424239543605,Layer 5b
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s59_2,-103.90625000000011,-76.51472120880382,156.8982296958972,919.9392500000001,233.412950904701,129.07366637205087,Layer 2/3
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s59_2,-96.88924999999995,1.1028281598229057,234.5157790645239,919.9392500000001,233.412950904701,97.14804679206159,Layer 2/3
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s59_2,-457.4612500000001,354.9490241833072,588.3619750880082,919.9392500000001,233.412950904701,579.0238380414442,Layer 5a
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s59_2,129.4577499999998,228.57758083299257,461.9905317376936,919.9392500000001,233.412950904701,262.78512038265353,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s59_2,158.51674999999977,141.0886410987265,374.5015920034275,919.9392500000001,233.412950904701,212.3265519845497,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s62_1,-600.9245999999999,452.6278760311985,730.3142388934494,625.2396,277.6863628622509,752.3248028914599,Layer 5b
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s62_1,-605.3726,230.76265724824242,508.44902011049334,625.2396,277.6863628622509,647.8642055330962,Layer 5a
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s62_1,-277.7136,243.23529070273105,520.921653564982,625.2396,277.6863628622509,369.17325237373586,Layer 5a
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s62_1,-46.12959999999998,134.26377972971267,411.9501425919636,625.2396,277.6863628622509,142.00331877624834,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s62_1,26.815399999999954,143.77918559793216,421.4655484601831,625.2396,277.6863628622509,146.43551443678072,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s62_1,-257.2536,170.69015363328947,448.3765164955404,625.2396,277.6863628622509,308.74711862674275,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s62_1,118.93539999999996,221.95428531361028,499.6406481758612,625.2396,277.6863628622509,251.83243266552367,Layer 5a
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_1,197.98860000000002,506.21337997926787,770.2480115074625,485.20140000000004,264.0346315281946,543.592155756496,Layer 5b
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_1,226.55359999999996,271.1898345260714,535.224466054266,485.20140000000004,264.0346315281946,353.3782959142199,Layer 5a
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_1,493.6225999999998,248.34002410932817,512.3746556375228,485.20140000000004,264.0346315281946,552.5745187803917,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_1,-11.653400000000033,267.93432322927094,531.9689547574656,485.20140000000004,264.0346315281946,268.263980615899,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_1,176.34259999999995,164.1424091783918,428.1770407065864,485.20140000000004,264.0346315281946,240.99876154380252,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_1,493.6225999999998,326.12802410932807,590.1626556375227,485.20140000000004,264.0346315281946,591.629376671083,Layer 5a
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_1,200.6576,340.1712499502953,604.2058814784899,485.20140000000004,264.0346315281946,394.9462137184079,Layer 5a
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_2,70.63400000000013,121.81087650228963,369.6829657538409,527.157,247.87208925155127,140.80945135272728,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_2,-4.386000000000081,259.5348080417451,507.4068972932964,527.157,247.87208925155127,259.5723474896074,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_2,-191.7890000000001,120.42933643327822,368.3014256848295,527.157,247.87208925155127,226.49171197807604,Layer 4
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_2,-332.341,4.183965882380932,252.0560551339322,527.157,247.87208925155127,332.38576361135705,Layer 2/3
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_2,150.99199999999996,519.731266296617,767.6033555481683,527.157,247.87208925155127,541.2387857778534,Layer 5b
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_2,432.88699999999994,383.18093294695825,631.0530221985096,527.157,247.87208925155127,578.1271764439908,Layer 5a
Ta1 Cre-OFF,CBLK1843_1E,CBLK1843_1E_s71_2,-388.08700000000005,481.9755195784762,729.8476088300275,527.157,247.87208925155127,618.8086707876208,Layer 5b
Ta1 Cre-OFF,CBLK1843_1F,CBLK1843_1F_s59,-360.65166666666676,194.89323960173118,521.9885815933421,538.5656666666667,327.09534199161095,409.95967763876496,Layer 4
