,condition,folder,frequency
0,NBQX_proximal_pre,221027_1_001,0.43252595155709345
1,NBQX_proximal_pre,221028_1_001,2.832951362363127
2,NBQX_proximal_pre,221110_1_001,2.7436125965537728
3,NBQX_proximal_pre,221114_1_001,0.6860399662257247
4,NBQX_proximal_pre,221117_1_001,0.6085192697768763
5,NBQX_proximal_pre,221124_1_001,0.36940613566000563
6,NBQX_proximal_pre,221128_1_001,0.8578431372549019
7,NBQX_proximal_post,221110_1_001,0.0445632798573975
8,NBQX_proximal_post,221027_1_001,0.02906300860265055
9,NBQX_proximal_post,221028_1_001,0.052772305094286515
10,NBQX_proximal_post,221114_1_001,0.01671122994652406
11,NBQX_proximal_post,221117_1_001,0.0
12,NBQX_proximal_post,221124_1_001,0.10283833813245578
13,NBQX_proximal_post,221128_1_001,0.0
14,NBQX_distal_pre,221027_1_001,0.7669575007036307
15,NBQX_distal_pre,221028_1_001,2.0328719723183393
16,NBQX_distal_pre,221114_1_001,1.2079831932773109
17,NBQX_distal_post,221027_1_001,0.9536541889483066
18,NBQX_distal_post,221028_1_001,1.802584670231729
19,NBQX_distal_post,221114_1_001,1.5857100415923946
