Brain,cell_id,cell_counts,pial_dist
1,Ta1+ Glast-,35.55555556,241.133
2,Ta1+ Glast-,32.04016913,202.42
3,Ta1+ Glast-,48,318.318
4,Ta1+ Glast-,46.81006731,220.237
5,Ta1+ Glast-,49.12280702,225.046
6,Ta1+ Glast-,47.05882353,250.908
7,Ta1+ Glast-,60.60606061,384.838
8,Ta1+ Glast-,21.99627858,263.806
1,Ta1+ Glast+,35.55555556,241.133
2,Ta1+ Glast+,51.79552464,202.42
3,Ta1+ Glast+,28,318.318
4,Ta1+ Glast+,32.37157864,220.237
5,Ta1+ Glast+,26.31578947,225.046
6,Ta1+ Glast+,11.76470588,250.908
7,Ta1+ Glast+,18.18181818,384.838
8,Ta1+ Glast+,35.02126528,263.806
1,Ta1- Glast+,28.88888889,224.7520146
2,Ta1- Glast+,16.16430623,189.8834219
3,Ta1- Glast+,24,356.1315286
4,Ta1- Glast+,20.81835405,185.0844205
5,Ta1- Glast+,24.56140351,245.4859418
6,Ta1- Glast+,41.17647059,215.6793604
7,Ta1- Glast+,21.21212121,276.0795108
8,Ta1- Glast+,42.98245614,261.6350903
