Pair_ID,Pair_type,Neuron1_ID,Neuron2_ID,Neuron1_pial_dist,Neuron2_pial_dist,shared_input_amp,Pair_dist
P 201009_002,unlabeled,unlabeled,unlabeled,,,92.01999640477497,
P 201021_003,unlabeled,unlabeled,unlabeled,150.0,164.0,92.64838473700163,157.0
P 200204_002,unlabeled,unlabeled,unlabeled,,,70.15754839930813,
P 200204_003,unlabeled,unlabeled,unlabeled,,,104.8564684219742,
P 200204_004,unlabeled,unlabeled,unlabeled,,,84.58797907889615,
P 200204_006,unlabeled,unlabeled,unlabeled,,,133.6291253161972,
P 200207_001,unlabeled,unlabeled,unlabeled,,,112.38187204259123,
P 210225_005,unlabeled,unlabeled,unlabeled,200.0,275.0,219.74245880032163,237.5
P 210226_001,unlabeled,unlabeled,unlabeled,330.0,300.0,105.91279616698549,315.0
P 210226_002,unlabeled,unlabeled,unlabeled,340.0,300.0,159.48741588795778,320.0
P 210305_001,unlabeled,unlabeled,unlabeled,300.0,340.0,140.59886386191124,320.0
P 210305_002,unlabeled,unlabeled,unlabeled,,,125.66662213763162,
P 210310_001,unlabeled,unlabeled,unlabeled,175.0,175.0,80.26850893864167,175.0
P 210310_002,unlabeled,unlabeled,unlabeled,400.0,400.0,68.7134648749416,400.0
P 210310_003,unlabeled,unlabeled,unlabeled,350.0,350.0,68.0394677433932,350.0
P 210311_006,unlabeled,unlabeled,unlabeled,160.0,160.0,107.24044966688999,160.0
P 210312_005,unlabeled,unlabeled,unlabeled,200.0,250.0,203.72770721382983,225.0
P 210315_001,unlabeled,unlabeled,unlabeled,310.0,350.0,125.19408266952979,330.0
P 210315_002,unlabeled,unlabeled,unlabeled,275.0,275.0,87.37735331464083,275.0
P 210315_003,unlabeled,unlabeled,unlabeled,250.0,250.0,93.96737983554306,250.0
P 210315_004,unlabeled,unlabeled,unlabeled,150.0,180.0,185.10353294423982,165.0
P 210323_003,unlabeled,unlabeled,unlabeled,300.0,350.0,146.71518655696343,325.0
P 210209_001,IP-OP,IP-derived,OP-derived,375.0,400.0,81.49881407409529,387.5
P 210209_005,IP-OP,OP-derived,IP-derived,400.0,425.0,56.22267486525007,412.5
P 210209_006,IP-OP,OP-derived,IP-derived,200.0,225.0,220.22627465437373,212.5
P 210210_001,IP-OP,OP-derived,IP-derived,350.0,400.0,63.018856593387326,375.0
P 210210_002,IP-OP,OP-derived,IP-derived,300.0,380.0,163.05890474467714,340.0
P 210214_001,IP-OP,OP-derived,IP-derived,,,93.8025090119337,
P 210214_005,IP-OP,IP-derived,OP-derived,375.0,450.0,69.76229591510037,412.5
P 210218_001,IP-OP,OP-derived,IP-derived,290.0,250.0,56.05939232761578,270.0
P 210218_003,IP-OP,OP-derived,IP-derived,225.0,230.0,67.10409485855416,227.5
P 210221_001,IP-OP,OP-derived,IP-derived,400.0,430.0,81.38783484153042,415.0
P 210221_002,IP-OP,OP-derived,IP-derived,200.0,250.0,371.5067986938866,225.0
P 210221_003,IP-OP,IP-derived,OP-derived,,,137.98181772895913,
P 210222_005,IP-OP,OP-derived,IP-derived,200.0,260.0,277.5577972420215,230.0
P 210307_001,unlabeled,unlabeled,unlabeled,250.0,275.0,185.63723155262932,262.5
P 210307_002,unlabeled,unlabeled,unlabeled,150.0,150.0,164.7538122867133,150.0
P 210312_001,IP-OP,OP-derived,IP-derived,280.0,230.0,174.89293662950809,255.0
P 210322_003,IP-OP,OP-derived,IP-derived,245.0,260.0,136.97987389294974,252.5
P 210322_005,IP-OP,IP-derived,OP-derived,195.0,205.0,113.56720511901298,200.0
P 210322_007,IP-OP,OP-derived,IP-derived,210.0,220.0,128.84179654949017,215.0
P 230202_008,unlabeled,unlabeled,unlabeled,200.0,250.0,122.02472707149457,225.0
P 230214_004,IP-OP,IP-derived,OP-derived,120.0,150.0,149.53850587674683,135.0
P 230330_003,IP-OP,IP-derived,OP-derived,200.0,150.0,106.67092208075981,175.0
P 230214_005,IP-OP,OP-derived,IP-derived,150.0,100.0,160.14705742453833,125.0
P 230424_005,unlabeled,unlabeled,unlabeled,300.0,360.0,93.30528884856903,330.0
P 230328_003,unlabeled,unlabeled,unlabeled,,,168.45447841843895,
